cnt,operation,ntokens,avgsaliency,median
211938,jmp,2,0.4955711467492821,0.4909090909090909
408704,jmp,3,0.5313826720207102,0.5414740653956758
132,jmp,4,0.23768227925573135,0.2
947,jmp,5,0.4216117598502411,0.43312101910828027
1073,jmp,6,0.19836445502604852,0.14361702127659576
202,jmp,7,0.10292472536805695,0.047619047619047616
449,jmp,8,0.1682305637962654,0.11049723756906077
525,jmp,9,0.3424827789502934,0.2727272727272727
1003,jmp,10,0.18051064374837478,0.13095238095238096
380,jmp,11,0.22889287181256351,0.11128308311406904
446,jmp,12,0.16223101851112762,0.08530997304582211
373,jmp,13,0.14525173319716772,0.06666666666666667
459,jmp,14,0.14793777013378318,0.09090909090909091
370,jmp,15,0.15469124805025564,0.10931899641577061
633,jmp,16,0.11046673788669288,0.07339449541284404
88,jmp,17,0.17038299174946162,0.07430340557275542
70,jmp,18,0.1875131486422311,0.11263157894736842
289,jmp,19,0.13378150767556948,0.09523809523809523
2641,jmp,20,0.09277085780432731,0.044585987261146494
